,dataset,spearman_elbo,spearman_elbo_sem,spearman_esm_if1,spearman_esm_if1_sem,spearman_tranception,spearman_tranception_sem
0,cm,0.11041852762567123,0.030191611040342816,0.21482439561887853,0.04618850961414397,-0.010357472637868856,0.103974857325623
1,gh114,0.2849014876878654,0.038036194992101736,0.42311864262328663,0.06838079700271779,0.33193352914715146,0.05738579328557191
2,ppat,-0.017296970923834313,0.04009996003844399,0.04557587473399597,0.04457531653442752,0.012875975152991076,0.05662723821962174
