,dataset,spearman_elbo,spearman_esm_if1,spearman_tranception
0,cm,0.1050911117175584,0.24769016739831998,-0.04896930065841937
1,gh114,0.44433693490297266,0.4867763263989679,0.5147556845670053
2,ppat,-0.007019005731664976,0.04619916836326279,0.023086171017270892
