,dataset,spearman_elbo,spearman_elbo_sem,spearman_esm_if1,spearman_esm_if1_sem,spearman_tranception,spearman_tranception_sem
0,cm,0.22013341647644621,0.04726567317348093,0.14293870165092135,0.012163951264642191,0.16915630520090397,0.031004300416196926
1,gh114,0.21018231854145167,,0.36016511867905054,,0.23426212590299278,
2,ppat,-0.006541709366187403,0.008216089102821802,0.04077250723318026,0.01630004181834573,0.015217839427025792,0.03433083013115017
